Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,309,106,2,2.5,2.5,8,0,0.62
2,319,108,2,2.5,3,8.76,0,0.66
3,322,105,2,3,3,8.45,1,0.65
4,323,107,3,3.5,3.5,8.55,1,0.73
5,313,106,2,2.5,2,8.43,0,0.62
6,321,109,3,3.5,3.5,8.8,1,0.74
7,323,110,3,4,3.5,9.1,1,0.79
8,325,112,4,4,4,9,1,0.8
9,312,108,3,3.5,3,8.53,0,0.69
10,308,110,4,3.5,3,8.6,0,0.7
11,320,104,3,3,3.5,8.74,1,0.76
12,328,108,4,4.5,4,9.18,1,0.84
13,311,107,4,4.5,4.5,9,1,0.78
14,301,100,3,3.5,3,8.04,0,0.67
15,305,105,2,3,4,8.13,0,0.66
16,308,104,2,2.5,3,8.07,0,0.65
17,298,101,2,1.5,2,7.86,0,0.54
18,300,99,1,1,2.5,8.01,0,0.58
19,324,111,3,2.5,2,8.8,1,0.79
20,327,113,4,3.5,3,8.69,1,0.8
21,317,106,3,4,3.5,8.5,1,0.75
22,323,104,3,4,4,8.44,1,0.73
23,314,107,2,2.5,4,8.27,0,0.72
24,305,102,2,2,2.5,8.18,0,0.62
25,315,104,3,3,2.5,8.33,0,0.67
26,326,116,3,3.5,4,9.14,1,0.81
27,299,100,3,2,2,8.02,0,0.63
28,295,101,2,2.5,2,7.86,0,0.69
29,324,112,4,4,3.5,8.77,1,0.8
30,297,96,2,2.5,1.5,7.89,0,0.43
31,327,113,3,3.5,3,8.66,1,0.8
32,311,105,2,3,2,8.12,1,0.73
33,308,106,3,3.5,2.5,8.21,1,0.75
34,319,108,3,3,3.5,8.54,1,0.71
35,312,107,4,4.5,4,8.65,1,0.73
36,325,111,4,4,4.5,9.11,1,0.83
37,319,110,3,3,2.5,8.79,0,0.72
38,332,118,5,5,5,9.47,1,0.94
39,323,108,5,4,4,8.74,1,0.81
40,324,107,5,3.5,4,8.66,1,0.81
41,312,107,3,3,3,8.46,1,0.75
42,326,110,3,3.5,3.5,8.76,1,0.79
43,308,106,3,3,3,8.24,0,0.58
44,305,103,2,2.5,3.5,8.13,0,0.59
45,295,96,2,1.5,2,7.34,0,0.47
46,316,98,1,1.5,2,7.43,0,0.49
47,304,97,2,1.5,2,7.64,0,0.47
48,299,94,1,1,1,7.34,0,0.42
49,302,99,1,2,2,7.25,0,0.57
50,313,101,3,2.5,3,8.04,0,0.62
51,318,107,3,3,3.5,8.27,1,0.74
52,325,110,4,3.5,4,8.67,1,0.73
53,303,100,2,3,3.5,8.06,1,0.64
54,300,102,3,3.5,2.5,8.17,0,0.63
55,297,98,2,2.5,3,7.67,0,0.59
56,317,106,2,2,3.5,8.12,0,0.73
57,327,109,3,3.5,4,8.77,1,0.79
58,301,104,2,3.5,3.5,7.89,1,0.68
59,314,105,2,2.5,2,7.64,0,0.7
60,321,107,2,2,1.5,8.44,0,0.81
61,322,110,3,4,5,8.64,1,0.85
62,334,116,4,4,3.5,9.54,1,0.93
63,338,115,5,4.5,5,9.23,1,0.91
64,306,103,2,2.5,3,8.36,0,0.69
65,313,102,3,3.5,4,8.9,1,0.77
66,330,114,4,4.5,3,9.17,1,0.86
67,320,104,3,3.5,4.5,8.34,1,0.74
68,311,98,1,1,2.5,7.46,0,0.57
69,298,92,1,2,2,7.88,0,0.51
70,301,98,1,2,3,8.03,1,0.67
71,310,103,2,2.5,2.5,8.24,0,0.72
72,324,110,3,3.5,3,9.22,1,0.89
73,336,119,4,4.5,4,9.62,1,0.95
74,321,109,3,3,3,8.54,1,0.79
75,315,105,2,2,2.5,7.65,0,0.39
76,304,101,2,2,2.5,7.66,0,0.38
77,297,96,2,2.5,2,7.43,0,0.34
78,290,100,1,1.5,2,7.56,0,0.47
79,303,98,1,2,2.5,7.65,0,0.56
80,311,99,1,2.5,3,8.43,1,0.71
81,322,104,3,3.5,4,8.84,1,0.78
82,319,105,3,3,3.5,8.67,1,0.73
83,324,110,4,4.5,4,9.15,1,0.82
84,300,100,3,3,3.5,8.26,0,0.62
85,340,113,4,5,5,9.74,1,0.96
86,335,117,5,5,5,9.82,1,0.96
87,302,101,2,2.5,3.5,7.96,0,0.46
88,307,105,2,2,3.5,8.1,0,0.53
89,296,97,2,1.5,2,7.8,0,0.49
90,320,108,3,3.5,4,8.44,1,0.76
91,314,102,2,2,2.5,8.24,0,0.64
92,318,106,3,2,3,8.65,0,0.71
93,326,112,4,4,3.5,9.12,1,0.84
94,317,104,2,3,3,8.76,0,0.77
95,329,111,4,4.5,4,9.23,1,0.89
96,324,110,3,3.5,3.5,9.04,1,0.82
97,325,107,3,3,3.5,9.11,1,0.84
98,330,116,4,5,4.5,9.45,1,0.91
99,312,103,3,3.5,4,8.78,0,0.67
100,333,117,4,5,4,9.66,1,0.95
